Feature,Scaled_Importance_h2o,Scaled_Importance_pycaret,Scaled_Importance_tpot,Scaled_Importance_Mean
16748,0.0022336288436411,0.3094681256879235,0.2183793090679589,0.17669368786650783
17987,0.0080373241640989,0.0722953429296333,0.0519040576381574,0.044078908243963204
18756,0.0082879421781531,0.0684376241166013,0.1471081121584298,0.0746112261510614
16560,0.0085009505081895,0.4388664917035187,0.1252860972024435,0.19088451313805055
17738,0.0135728065409895,0.1209494012699267,0.4030587532541393,0.17919365368835183
13468,0.0238589490315265,0.5112950759622692,0.0,0.1783846749979319
18852,0.02911746384347,0.132703660459244,0.1035633912559519,0.08846150518622198
22357,0.0393143288980553,0.4132331804649977,0.1384918060063611,0.19701310512313805
16933,0.0517334660955464,0.185698236672915,0.1880841069827808,0.14183860325041406
19104,0.0519102365068164,0.3052788400457781,0.1253272108270119,0.1608387624598688
19227,0.0524877706622634,0.0985694189208593,0.0,0.050352396527707566
15505,0.0585995421136191,0.1924938803047652,0.2475374060040886,0.1662102761408243
13127,0.0607819063799578,0.2935551869952777,0.0491393850915816,0.13449215948893903
18080,0.0621480073680441,0.1179378233130457,0.0,0.06002861022702993
18792,0.0718641157227819,0.0602925945306402,0.0,0.0440522367511407
13212,0.0964407210384899,0.1762186698280653,0.0801639487896328,0.117607779885396
12781,0.1083081676715522,0.1797093419273094,0.172674123267097,0.1535638776219862
11979,0.1120908387208707,0.2014876365837131,0.7848314909043593,0.36613665540298107
17706,0.1200822876352571,0.19268316345988,0.0362813587823875,0.11634893662584152
17926,0.1290451919442956,0.41631392769236,0.0,0.18178637321221855
15445,0.1297082900544635,0.3890166298983627,0.0329206974557851,0.1838818724695371
17863,0.1401510655978174,0.2443420044677488,0.1376303600637847,0.1740411433764503
14359,0.1486793573693424,0.1255720986059602,0.4571051439786285,0.24378553331797703
16591,0.1604256347730618,0.442859537969802,0.2307831307345753,0.278022767825813
23504,0.1657404424785892,0.2040424255201629,0.0210732446858011,0.13028537089485107
13368,0.1660226359639624,0.1914387133407085,0.0392074668241595,0.13222293870961013
14327,0.1685138176196175,0.1191270996612058,0.0,0.09588030576027444
18788,0.1733109700830387,0.1800908863854352,0.0743472072111461,0.14258302122653999
22304,0.1848578853064601,0.4297582572419313,0.0425816411353868,0.2190659278945927
17705,0.1866570195533113,0.1773127777252537,0.0929317782243824,0.15230052516764914
13367,0.2072178112400277,0.3513392314429304,0.1060783340012765,0.2215451255614115
17649,0.2154555281570727,0.2065710576796124,0.0959532643436915,0.1726599500601255
14614,0.2283949693082719,0.2442716974617786,0.3172582718346205,0.2633083128682237
22326,0.2285433966401105,0.1036241996117439,0.0449461992112931,0.12570459848771584
14358,0.2334506758168999,0.1968053868467258,0.1034136375404155,0.17788990006801375
15413,0.2504530167308044,0.1430373999830373,0.4329122146075906,0.2754675437738108
13928,0.2508389078971597,0.4415239474726077,0.0349393516480099,0.24243406900592576
14328,0.2511187013762457,0.2400572857913752,0.0803437651269927,0.19050658409820453
27875,0.2515643564297337,0.1988296268870594,0.2365588005975557,0.22898426130478292
19073,0.2577917136761162,0.5669316388524708,0.3004179480148944,0.37504710018116044
13211,0.2642604145599254,0.1805675021900764,0.6659561654179689,0.37026136072265686
15444,0.2657764475470046,0.2212919825893946,0.0551577371563534,0.18074205576425084
15474,0.275921808839723,0.1369063344432007,0.0267329525653108,0.14652036528274484
17957,0.2765643390203617,0.3410310639113748,0.4340272731547367,0.35054089202882444
15849,0.2777808561968958,0.2343991522078867,0.2850184966253808,0.26573283501005446
16779,0.2814763187275997,0.6071480451276842,0.4321704401132149,0.44026493465616623
20071,0.282458878814555,0.361210049963664,0.0520647886838559,0.23191123915402498
19935,0.282507799149965,0.2007453060503849,0.0104762983225263,0.16457646784095872
9957,0.2877588885538552,0.1768303935153013,0.4618109689598791,0.3088000836763452
13158,0.3199442661337873,0.1783020927829747,0.9144934678739144,0.4709132755968921
22356,0.3202338834728056,0.0627258574418805,0.1402085961737432,0.1743894456961431
12034,0.3223972715236294,0.2933518862340389,0.0524373637625114,0.2227288405067266
9925,0.3680400190727131,0.5158714951643866,0.4017185409123114,0.42854335171647034
12252,0.3720069185839276,0.4325289931812397,0.4454217160893106,0.4166525426181593
17895,0.3915052909071247,0.5363418331829566,0.194216662360732,0.37402126215027115
21278,0.4165762539945804,0.264810406787836,0.1955983889176101,0.29232834990000883
20437,0.4194646429084117,0.1917164453982195,0.0,0.20372702943554374
20131,0.4329315382911179,0.3794995469760098,0.0201579168409173,0.2775296673693483
13181,0.436983047350408,0.7869347209854332,0.8430116690092576,0.6889764791150329
20072,0.4377868131865945,0.1362926640769103,0.6692086485591896,0.41442937527423146
13336,0.4448648172209927,0.5070690863979845,0.4195874419222719,0.45717378184708307
14615,0.482166734629539,0.36574469017872,0.5610731801412722,0.46966153498317703
18018,0.5031043397386227,0.3315731424437414,0.412807304038655,0.41582826207367307
15786,0.5051809296346012,0.1764706158179577,0.0536957259419142,0.24511575713149103
18925,0.534619232660539,0.3073689552016317,0.7158400675226099,0.5192760851282602
11105,0.5587895094506528,0.5705621213664693,0.4236957072954089,0.5176824460375103
6424,0.565677701588839,0.7345133855217667,0.5244450826260693,0.6082120565788917
9689,0.6852534759800905,1.0,0.4999323269777995,0.7283952676526299
9720,0.7458130211557694,0.5349346691029763,0.5606529642503193,0.6138002181696883
15351,1.0,0.4711269320025272,1.0,0.8237089773341757
