Feature,Relative_Importance,Scaled_Importance,Percentage
17926,0.0,0.0,0.0
13468,0.0,0.0,0.0
18080,0.0,0.0,0.0
14327,0.0,0.0,0.0
20437,0.0,0.0,0.0
18792,0.0,0.0,0.0
19227,0.0,0.0,0.0
19935,0.0006082083600769489,0.010476298322526303,0.000608208360076949
20131,0.0011702810636863752,0.02015791684091738,0.0011702810636863754
23504,0.0012234210211723596,0.021073244685801167,0.0012234210211723598
15474,0.0015519990686788485,0.026732952565310896,0.001551999068678849
15445,0.0019112326506700802,0.03292069745578514,0.0019112326506700807
13928,0.0020284269418230512,0.03493935164800998,0.0020284269418230517
17706,0.0021063380448942837,0.036281358782387516,0.002106338044894284
13368,0.002276215163577266,0.03920746682415953,0.0022762151635772666
22304,0.002472105062973568,0.04258164113538682,0.0024721050629735682
22326,0.0026093810306272707,0.0449461992112931,0.002609381030627271
13127,0.0028528191830388305,0.04913938509158167,0.002852819183038831
17987,0.0030133240583235486,0.0519040576381574,0.0030133240583235495
20071,0.003022655404444875,0.052064788683855945,0.003022655404444876
12034,0.0030442854946368812,0.05243736376251145,0.003044285494636882
15786,0.003117340535067697,0.05369572594191427,0.0031173405350676977
15444,0.003202218553597977,0.0551577371563534,0.003202218553597978
18788,0.004316275804876857,0.0743472072111461,0.0043162758048768575
13212,0.004653970546619349,0.08016394878963284,0.00465397054661935
14328,0.0046644099018470974,0.08034376512699276,0.004664409901847098
17705,0.005395215246147785,0.09293177822438248,0.005395215246147786
17649,0.005570629601585601,0.09595326434369153,0.005570629601585602
14358,0.006003746453344681,0.10341363754041552,0.006003746453344683
18852,0.006012440503374354,0.10356339125595192,0.006012440503374356
13367,0.006158447151498561,0.10607833400127656,0.006158447151498563
16560,0.007273566423370443,0.12528609720244357,0.007273566423370445
19104,0.007275953301770212,0.12532721082701198,0.007275953301770214
17863,0.007990220688084491,0.13763036006378473,0.007990220688084493
22357,0.008040232496444585,0.13849180600636118,0.008040232496444586
22356,0.008139901873943551,0.1402085961737432,0.008139901873943553
18756,0.008540457792950547,0.14710811215842987,0.008540457792950549
12781,0.010024709311130094,0.17267412326709702,0.010024709311130095
16933,0.01091934600779381,0.18808410698278089,0.010919346007793812
17895,0.01127537552649172,0.19421666236073207,0.011275375526491722
21278,0.011355592566648604,0.19559838891761014,0.011355592566648606
16748,0.01267815380527763,0.21837930906795897,0.012678153805277634
16591,0.013398265795437188,0.23078313073457532,0.013398265795437191
27875,0.013733576091837958,0.23655880059755574,0.013733576091837962
15505,0.014370946218639491,0.2475374060040886,0.014370946218639494
15849,0.016546935481149765,0.2850184966253808,0.016546935481149768
19073,0.01744096071672001,0.3004179480148944,0.017440960716720015
14614,0.018418636744858403,0.3172582718346205,0.018418636744858406
9925,0.023322032979475438,0.40171854091231146,0.02332203297947544
17738,0.023399839884689785,0.4030587532541393,0.02339983988468979
18018,0.02396579838484324,0.412807304038655,0.023965798384843248
13336,0.02435942373001151,0.4195874419222719,0.024359423730011518
11105,0.02459793176676567,0.42369570729540895,0.024597931766765675
16779,0.02508993793063416,0.4321704401132149,0.025089937930634167
15413,0.025133002134695732,0.43291221460759066,0.02513300213469574
17957,0.025197737588905852,0.4340272731547367,0.02519773758890586
12252,0.025859249435731195,0.44542171608931064,0.025859249435731202
14359,0.026537538493361407,0.45710514397862856,0.026537538493361414
9957,0.02681073824450837,0.4618109689598791,0.026810738244508376
9689,0.029023898650043147,0.49993232697779955,0.029023898650043154
6424,0.03044700273268881,0.5244450826260693,0.030447002732688817
9720,0.03254907501304699,0.5606529642503193,0.032549075013047
14615,0.03257347092179704,0.5610731801412722,0.03257347092179705
13211,0.03866252132025226,0.6659561654179689,0.03866252132025227
20072,0.038851346359077873,0.6692086485591896,0.03885134635907788
18925,0.04155856392607092,0.7158400675226099,0.04155856392607093
11979,0.045563906193211476,0.7848314909043593,0.04556390619321148
13181,0.04894159453548388,0.8430116690092576,0.04894159453548389
13158,0.053091517182239825,0.9144934678739145,0.05309151718223984
15351,0.05805565490333257,1.0,0.05805565490333258
